batter,pitcher,events,zone,p_throws,type,balls,strikes,outs_when_up,inning,launch_speed,launch_angle,woba_value,pitch_number,pitch_name
547180,622098,field_out,13,R,X,1,2,1,7,94.5,-12,0,4,Curveball
547180,621242,strikeout,14,R,S,0,2,1,9,,,0,3,Slider
547180,657140,field_out,5,R,X,0,0,2,6,99.5,39,0,1,Curveball
547180,445926,single,5,R,X,0,0,2,8,97.9,11,0.9,1,Cutter
547180,657140,field_out,11,R,X,1,1,2,1,92.9,23,0,3,Changeup
547180,450203,double,2,R,X,0,0,0,5,99.1,19,1.25,1,Curveball
547180,450203,single,13,R,X,2,2,2,3,90.4,18,0.9,7,Curveball
547180,675911,field_out,2,R,X,2,2,2,6,94.4,-14,0,6,4-Seam Fastball
547180,543521,double,1,R,X,0,0,1,9,101,22,1.25,1,Cutter
547180,450203,single,4,R,X,1,2,1,1,111,15,0.9,4,4-Seam Fastball
547180,608331,double,8,L,X,1,0,1,6,110.6,2,1.25,2,Sinker
547180,608331,field_out,3,L,X,0,0,0,4,107,16,0,1,4-Seam Fastball
547180,519293,single,2,L,X,1,0,2,7,102.5,13,0.9,2,4-Seam Fastball
547180,445276,home_run,9,R,X,0,0,1,9,113.5,28,2,1,Sinker
547180,608331,field_out,8,L,X,0,0,2,1,99.3,-11,0,1,4-Seam Fastball
547180,656353,field_out,13,L,X,3,2,2,2,82.7,-23,0,8,Curveball
547180,445926,single,7,R,X,1,0,0,4,91.2,66,0.9,2,Cutter
547180,503285,strikeout,11,R,S,1,2,1,8,,,0,5,Slider
547180,656353,field_out,12,L,X,0,0,0,1,73.1,-63,0,1,4-Seam Fastball
547180,669276,field_out,7,L,X,0,0,0,6,74.1,-7,0,1,4-Seam Fastball
547180,664062,strikeout,14,R,S,1,2,1,4,,,0,5,Split-Finger
547180,622075,field_out,7,R,X,2,1,1,9,77.5,3,0,4,Changeup
547180,681911,strikeout,2,L,S,1,2,0,7,,,0,4,Slider
547180,669952,strikeout,8,R,S,3,2,2,1,,,0,7,Changeup
547180,543339,field_out,5,R,X,2,2,0,8,86.1,20,0,8,4-Seam Fastball
547180,456034,single,8,L,X,3,2,1,3,103.3,5,0.9,9,Sinker
547180,660813,field_out,6,R,X,0,1,2,5,94.7,21,0,2,Cutter
547180,628711,field_out,5,L,X,0,0,0,5,81.8,8,0,1,4-Seam Fastball
547180,628711,home_run,9,L,X,0,0,0,3,109.5,31,2,1,Curveball
547180,606625,single,6,R,X,2,1,0,8,40.2,-52,0.9,4,4-Seam Fastball
547180,628711,double,4,L,X,1,1,2,1,65.6,18,1.25,3,Curveball
547180,621111,double,4,R,X,0,0,1,3,107.7,-6,1.25,1,4-Seam Fastball
547180,623465,double,9,R,X,2,2,1,6,104.8,15,1.25,5,Slider
547180,621111,field_out,4,R,X,0,2,1,1,90.2,-36,0,3,Knuckle Curve
547180,641360,home_run,5,R,X,0,0,1,8,106.6,28,2,1,4-Seam Fastball
547180,542881,double,2,L,X,1,2,1,5,72.7,14,1.25,4,4-Seam Fastball
547180,542881,strikeout,4,L,S,2,2,1,3,,,0,5,Cutter
547180,622075,field_out,5,R,X,1,1,1,7,84.3,85,0,3,Slider
547180,542881,home_run,5,L,X,1,0,2,1,109.9,22,2,2,Cutter
547180,669302,field_out,8,R,X,0,1,2,1,84.4,50,0,2,Changeup
547180,670090,field_out,4,R,X,2,2,1,8,87.8,38,0,6,4-Seam Fastball
547180,682171,single,7,R,X,0,1,0,6,96.5,-10,0.9,2,Slider
547180,592662,double,14,L,X,1,2,2,6,102.5,11,1.25,5,Slider
547180,592662,strikeout,9,L,S,2,2,2,4,,,0,5,Slider
547180,592662,field_out,7,L,X,3,2,2,1,81.9,-12,0,6,Slider
547180,664948,double,4,L,X,3,2,2,8,105.1,18,1.25,8,Curveball
547180,623167,single,8,R,X,0,0,1,5,96.4,13,0.9,1,Curveball
547180,623167,field_out,6,R,X,1,1,1,3,79.6,47,0,3,Cutter
